"vin_1_10","county","city","state","zip_code","model_year","make","model","ev_type","cafv_type","electric_range","legislative_district","dol_vehicle_id","geocoded_column","electric_utility","_2020_census_tract"
"5YJYGDEE0M","King","Redmond","WA","98052","2021","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","45","139953628","POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032323"
"5YJYGDEE5M","Clark","Ridgefield","WA","98642","2021","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","18","138874984","POINT (-122.74595 45.81539)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011040304"
"5YJSA1E2XG","King","Bellevue","WA","98007","2016","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","210","48","264575874","POINT (-122.12056 47.61334)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023201"
"7PDSGBBA3S","King","Bothell","WA","98011","2025","RIVIAN","R1S","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","1","284177190","POINT (-122.20563 47.76144)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022102"
"1GKB0NDE3R","King","Bellevue","WA","98004","2024","GMC","HUMMER EV SUV","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","41","272812795","POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023901"
"JHMZC5F35J","Clark","Vancouver","WA","98684","2018","HONDA","CLARITY","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","47","17","126090191","POINT (-122.48723 45.63701)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011041320"
"1N4AZ0CP4E","King","Kent","WA","98031","2014","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","33","310968619","POINT (-122.17743 47.41185)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033029305"
"1FADP5CU9G","King","Bellevue","WA","98008","2016","FORD","C-MAX","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","19","48","349392753","POINT (-122.11867 47.63131)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023000"
"3FMTK3SU1P","Clark","Vancouver","WA","98664","2023","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","49","235142750","POINT (-122.59219 45.62158)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011041206"
"7PDSGCBP2S","Kitsap","Bainbridge Island","WA","98110","2025","RIVIAN","R1S","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","23","284268330","POINT (-122.521 47.62759)","PUGET SOUND ENERGY INC","53035090700"
